Iteracion_mejor_solucion;tiempo;ruta;coste;numero_vehiculos_usados
42;0.012;0 21 22 23 24 20 25 11 8 9 6 3 5 1 0 0 7 4 10 2 12 14 15 16 0 0 18 17 13 19 0 ;291;3
43;0.012;0 22 20 24 25 10 7 3 1 4 5 8 11 6 0 0 21 9 23 2 13 18 15 16 0 0 12 17 19 14 0 ;345;3
44;0.012;0 20 22 21 23 10 8 6 4 1 3 5 9 2 0 0 24 25 7 17 18 19 15 16 0 0 11 14 13 12 0 ;299;3
45;0.011;0 20 22 25 24 21 10 11 8 6 7 5 3 0 0 1 9 13 15 14 12 16 17 18 0 0 2 19 4 23 0 ;292;3
46;0.011;0 21 22 20 25 24 23 10 9 8 7 5 3 4 0 0 6 11 2 13 15 19 17 14 16 0 0 18 1 12 0 ;331;3
47;0.012;0 20 21 22 25 23 24 7 5 4 3 1 6 0 0 8 9 11 2 13 18 17 16 0 0 10 12 15 19 14 0 ;299;3
48;0.011;0 21 23 22 20 25 10 9 6 4 3 5 7 0 0 24 13 15 16 12 17 18 19 8 0 0 1 2 11 14 0 ;283;3
49;0.012;0 20 21 25 22 10 7 4 6 3 1 2 0 0 24 23 8 11 13 15 14 16 0 0 17 19 9 5 12 18 0 ;329;3
50;0.011;0 22 21 20 25 23 10 8 6 4 1 2 0 0 5 3 7 9 11 17 15 16 14 19 18 0 0 13 12 24 0 ;268;3
51;0.012;0 22 20 25 21 24 11 8 6 9 4 7 0 0 23 5 1 3 2 10 15 19 18 16 0 0 12 17 14 13 0 ;320;3
52;0.011;0 22 20 25 23 10 7 3 4 5 8 11 9 6 0 0 21 1 2 13 18 19 17 14 16 0 0 12 15 24 0 ;301;3
53;0.012;0 20 21 22 23 10 7 4 1 3 8 6 5 2 0 0 24 9 11 15 16 14 13 19 17 18 0 0 12 25 0 ;298;3
54;0.011;0 21 22 25 24 20 7 4 1 3 6 9 10 5 0 0 11 8 2 12 16 19 15 0 0 17 13 23 18 14 0 ;325;3
55;0.012;0 21 20 25 22 10 7 3 1 5 8 11 9 4 0 0 6 23 17 18 15 13 14 12 16 0 0 24 2 19 0 ;332;3
56;0.012;0 20 22 21 23 24 11 8 9 6 3 7 10 5 1 2 0 0 4 12 15 19 16 14 17 13 0 0 25 18 0 ;282;3
57;0.012;0 20 21 23 22 24 10 8 6 4 3 7 9 2 0 0 5 25 13 15 16 14 17 0 0 18 12 1 11 19 0 ;349;3
58;0.011;0 22 21 25 24 10 11 8 9 7 5 1 2 0 0 3 6 4 23 17 18 15 13 19 14 20 16 0 0 12 0 ;366;3
59;0.012;0 20 21 22 24 23 25 10 8 6 7 4 1 0 0 5 3 2 13 18 19 17 16 0 0 15 14 11 9 12 0 ;314;3
60;0.012;0 21 22 20 23 24 25 11 10 7 5 1 4 3 6 0 0 2 9 13 18 19 15 14 16 0 0 17 8 12 0 ;313;3
61;0.011;0 21 23 25 20 24 22 11 10 8 6 7 0 0 5 1 2 9 4 13 17 18 16 0 0 15 14 19 3 12 0 ;334;3
62;0.012;0 22 21 23 25 24 11 9 6 7 5 1 3 4 0 0 20 2 13 18 15 16 0 0 17 19 14 10 12 8 0 ;333;3
63;0.012;0 20 24 21 23 22 11 10 9 4 7 5 3 6 2 0 0 8 13 15 19 17 18 16 0 0 12 14 1 25 0 ;309;3
64;0.012;0 21 20 24 22 23 25 7 3 1 5 4 2 0 0 10 11 6 9 12 16 14 15 17 13 0 0 19 18 8 0 ;271;3
65;0.012;0 21 20 25 23 10 8 9 6 4 7 3 2 0 0 5 11 13 17 19 18 14 15 12 16 0 0 22 24 1 0 ;259;3
66;0.011;0 22 20 21 24 10 8 6 9 4 1 5 2 0 0 7 23 25 13 18 19 16 0 0 17 15 14 12 11 3 0 ;296;3
67;0.011;0 20 22 21 23 10 7 4 1 5 8 6 3 9 2 0 0 25 11 13 15 16 19 18 0 0 24 12 14 17 0 ;294;3
68;0.012;0 22 25 23 24 21 20 10 11 6 9 4 1 2 0 0 7 5 13 18 17 19 16 14 15 0 0 8 3 12 0 ;282;3
69;0.011;0 22 20 25 23 10 7 5 4 3 6 8 11 2 0 0 24 9 13 17 18 16 12 15 0 0 21 1 14 19 0 ;319;3
70;0.011;0 22 25 23 24 10 11 9 6 4 7 3 5 1 2 0 0 21 13 18 19 15 16 14 17 0 0 12 8 20 0 ;279;3
71;0.011;0 20 21 25 22 23 11 10 8 9 6 7 0 0 3 5 1 4 2 12 14 15 13 18 0 0 17 19 24 16 0 ;324;3
72;0.011;0 20 22 21 23 25 11 9 8 7 4 3 1 2 0 0 24 10 5 13 15 14 19 18 17 6 12 0 0 16 0 ;335;3
73;0.012;0 20 22 25 21 23 11 8 7 4 3 1 6 0 0 24 9 2 13 15 14 12 17 19 16 0 0 10 18 5 0 ;309;3
74;0.011;0 21 20 22 24 23 25 10 9 11 7 4 1 2 0 0 3 5 13 17 15 19 14 18 12 8 0 0 16 6 0 ;301;3
75;0.011;0 21 23 25 20 22 10 11 9 8 7 4 6 0 0 24 3 1 13 17 18 16 15 0 0 12 2 14 5 19 0 ;390;3
76;0.011;0 20 24 25 21 10 7 4 3 6 9 8 1 2 0 0 22 11 23 17 15 13 18 16 0 0 19 14 5 12 0 ;362;3
77;0.011;0 20 21 25 23 22 10 9 8 11 4 6 5 1 0 0 3 2 13 17 18 15 19 14 7 0 0 12 24 16 0 ;350;3
78;0.011;0 22 25 21 23 24 10 9 8 7 4 6 0 0 20 5 1 2 11 13 17 18 16 0 0 3 12 19 14 15 0 ;303;3
79;0.012;0 20 21 22 23 10 11 8 9 4 3 7 5 6 13 0 0 25 17 19 15 12 18 16 0 0 24 2 14 1 0 ;343;3
80;0.011;0 20 24 21 25 22 10 11 9 8 7 3 4 6 0 0 23 5 1 2 15 16 14 12 13 0 0 18 17 19 0 ;278;3
81;0.011;0 20 21 22 24 25 10 11 6 9 4 1 3 7 0 0 23 8 5 2 12 16 15 0 0 13 17 18 19 14 0 ;278;3
82;0.011;0 20 22 21 25 24 10 9 8 7 3 5 6 0 0 23 11 1 13 18 19 16 15 0 0 2 12 4 17 14 0 ;344;3
83;0.011;0 20 22 23 21 10 7 5 3 6 8 4 1 2 0 0 11 9 15 13 17 18 19 12 25 0 0 16 24 14 0 ;348;3
84;0.011;0 21 20 22 25 23 11 10 7 5 4 6 3 1 0 0 9 8 13 17 19 16 15 0 0 2 24 18 14 12 0 ;305;3
85;0.011;0 20 24 25 21 23 11 9 8 7 5 4 6 0 0 22 10 3 1 2 13 15 14 19 16 0 0 12 18 17 0 ;294;3
86;0.011;0 21 23 25 20 24 10 8 9 11 7 3 4 1 6 0 0 22 13 18 15 16 12 14 2 0 0 5 19 17 0 ;289;3
87;0.011;0 21 23 20 25 22 10 11 9 8 6 3 7 0 0 4 1 2 13 18 17 19 15 0 0 24 12 14 5 16 0 ;330;3
88;0.011;0 22 20 25 24 10 8 9 11 7 5 1 3 6 0 0 21 2 4 23 13 18 17 15 0 0 12 14 16 19 0 ;306;3
89;0.011;0 20 22 25 23 21 10 11 6 9 8 3 7 0 0 5 4 13 15 16 19 17 14 18 0 0 2 12 24 1 0 ;320;3
90;0.012;0 22 25 21 20 23 10 11 9 4 3 1 6 8 0 0 5 13 18 17 16 12 19 14 15 0 0 24 2 7 0 ;271;3
91;0.011;0 22 25 23 21 10 11 6 9 4 1 3 8 0 0 20 5 2 12 14 19 17 13 16 0 0 24 15 7 18 0 ;345;3
92;0.011;0 21 22 23 20 10 8 9 4 6 7 1 2 0 0 24 25 11 5 3 12 16 15 0 0 13 17 18 14 19 0 ;295;3
93;0.012;0 21 22 23 25 10 11 9 6 8 3 4 5 7 0 0 20 2 13 18 15 14 12 19 17 0 0 1 24 16 0 ;327;3
94;0.01;0 20 22 23 21 24 25 10 11 8 7 4 1 3 0 0 6 5 9 2 13 17 15 19 14 18 0 0 16 12 0 ;292;3
95;0.011;0 21 20 22 25 24 11 8 9 7 3 1 2 0 0 10 5 4 23 17 13 15 19 16 0 0 6 14 12 18 0 ;305;3
96;0.012;0 20 24 25 21 22 23 7 4 1 5 6 3 9 0 0 10 8 2 13 17 19 16 14 18 0 0 12 11 15 0 ;316;3
97;0.011;0 20 22 25 24 23 21 7 4 3 1 6 5 9 0 0 10 11 13 15 16 12 19 14 18 0 0 8 17 2 0 ;293;3
98;0.011;0 20 22 25 21 24 23 10 9 8 11 7 4 6 0 0 1 5 3 13 17 18 19 15 16 0 0 2 14 12 0 ;282;3
99;0.011;0 22 20 21 25 23 11 8 7 3 1 2 0 0 10 6 9 4 13 18 19 15 14 12 16 0 0 5 17 24 0 ;279;3
