Iteracion mejor solucion;tiempo;ruta;coste
18;0;0 22 20 21 23 25 10 5 3 7 4 2 1 8 6 13 15 14 19 11 9 16 18 12 24 17 ;389
19;0.001;0 21 20 24 22 10 8 25 23 11 7 3 4 5 2 9 1 12 16 17 15 19 13 14 18 6 ;375
20;0;0 22 25 24 20 23 11 5 7 8 9 10 4 3 6 13 17 18 19 21 2 1 15 16 12 14 ;395
21;0.001;0 20 22 25 23 21 7 24 10 11 9 8 6 3 5 2 13 15 14 4 1 16 17 18 12 19 ;411
22;0.001;0 22 20 24 25 10 7 21 11 9 8 4 6 3 2 23 5 17 15 13 14 16 19 1 18 12 ;471
23;0;0 20 22 25 24 21 7 3 1 2 5 6 8 23 11 9 4 13 18 15 14 16 19 17 10 12 ;377
24;0.001;0 20 24 25 23 22 10 21 11 6 9 4 3 8 7 2 1 13 18 17 16 15 12 19 5 14 ;401
25;0;0 22 25 21 24 20 10 7 5 3 4 1 6 23 11 8 2 9 15 18 13 14 16 19 12 17 ;392
26;0.001;0 21 22 25 24 20 7 23 11 9 4 3 6 10 8 2 1 12 16 13 18 19 15 14 17 5 ;346
27;0;0 20 22 25 23 24 21 5 7 8 9 6 11 4 1 2 13 15 19 3 10 18 17 12 16 14 ;370
28;0.001;0 22 21 23 25 10 8 20 24 7 4 3 5 6 11 2 13 18 15 17 14 16 9 12 1 19 ;438
29;0;0 22 25 24 20 23 11 5 3 7 4 6 9 8 1 10 2 21 13 15 14 19 16 18 12 17 ;420
30;0.001;0 20 21 22 25 23 11 24 10 9 6 7 4 8 1 2 13 18 19 5 12 14 15 16 17 3 ;353
31;0;0 20 24 21 22 10 11 25 23 8 6 4 1 7 5 3 2 12 15 13 18 17 14 19 16 9 ;362
32;0.001;0 22 21 25 20 24 11 7 3 4 5 8 6 23 9 10 2 13 15 1 14 12 16 18 17 19 ;412
33;0;0 20 22 23 25 21 7 24 10 9 8 6 3 5 1 4 2 13 15 11 17 16 14 19 18 12 ;387
34;0.001;0 20 22 23 24 25 10 21 11 8 6 9 7 4 3 1 13 18 15 5 12 16 14 2 17 19 ;426
35;0;0 21 22 25 24 10 11 5 4 3 1 7 8 20 9 2 6 23 17 15 13 18 14 19 12 16 ;425
36;0.001;0 21 23 20 22 25 10 5 4 6 8 9 7 24 3 1 2 12 14 11 13 17 18 19 15 16 ;383
37;0;0 22 20 25 23 24 21 7 5 4 6 9 10 8 1 2 13 15 16 11 3 17 18 12 14 19 ;385
38;0;0 20 22 23 25 24 10 5 4 3 6 9 7 21 1 11 2 12 14 8 13 15 16 18 17 19 ;395
39;0.001;0 20 22 21 25 24 11 23 10 9 8 7 4 5 6 2 3 1 12 13 15 14 16 17 19 18 ;386
40;0;0 21 22 25 23 20 24 7 3 4 5 6 8 1 9 2 11 13 15 10 18 16 19 14 12 17 ;364
41;0.001;0 22 25 24 23 20 21 3 7 8 6 5 2 10 11 4 13 17 18 9 15 19 14 12 1 16 ;367
42;0;0 21 22 23 24 20 25 7 4 3 5 8 9 6 11 10 2 1 12 13 15 16 17 18 19 14 ;376
43;0.001;0 22 20 24 25 10 7 21 11 9 6 8 5 3 4 2 13 18 17 15 14 16 19 1 23 12 ;397
44;0;0 20 22 21 23 10 8 25 24 5 7 3 6 11 9 4 2 12 14 1 13 17 18 16 19 15 ;397
45;0.001;0 20 22 25 24 21 10 23 11 8 7 5 3 6 1 9 2 12 16 4 17 18 15 14 13 19 ;395
46;0;0 21 22 20 25 24 23 5 4 3 1 6 8 7 10 11 2 13 15 17 19 14 16 18 9 12 ;370
47;0.001;0 20 21 22 25 23 24 3 4 7 5 1 6 8 9 11 2 13 18 10 12 14 15 19 17 16 ;364
48;0;0 21 23 22 20 25 10 7 5 3 4 6 8 24 13 15 16 12 17 1 2 14 19 18 11 9 ;346
49;0.001;0 20 21 25 22 10 7 5 4 1 3 6 9 23 11 2 12 16 19 24 17 13 14 15 18 8 ;361
50;0;0 22 21 20 25 23 10 5 7 3 6 4 2 24 11 8 9 13 18 1 12 16 14 19 15 17 ;373
51;0.001;0 22 20 25 21 24 11 7 5 4 3 6 8 10 1 9 2 23 18 17 13 14 15 12 19 16 ;432
52;0.001;0 22 20 25 23 10 7 21 5 1 3 8 9 24 11 4 6 2 15 17 13 14 16 18 19 12 ;415
53;0;0 20 21 22 23 10 7 5 1 4 2 6 9 24 25 3 8 17 18 11 12 15 19 16 13 14 ;384
54;0.001;0 21 22 25 24 20 7 3 1 4 5 8 11 6 10 9 2 12 16 17 18 15 13 23 19 14 ;433
55;0;0 21 20 25 22 10 7 23 8 11 4 1 2 5 9 3 24 6 17 15 19 16 14 12 13 18 ;418
56;0.001;0 20 22 21 23 24 11 7 3 5 6 9 10 25 13 17 15 14 19 8 2 1 12 18 16 4 ;369
57;0;0 20 21 23 22 24 10 5 7 3 4 1 6 11 8 13 15 19 18 25 2 14 12 9 17 16 ;424
58;0.001;0 22 21 25 24 10 11 20 23 5 7 8 9 1 4 3 6 12 14 17 15 16 13 2 19 18 ;432
59;0;0 20 21 22 24 23 25 5 7 4 1 6 9 3 8 11 13 18 19 2 12 15 16 17 14 10 ;334
60;0.001;0 21 22 20 23 24 25 7 3 1 4 2 5 10 11 6 8 13 18 17 15 19 16 12 9 14 ;353
61;0;0 21 23 25 20 24 22 7 3 5 1 6 4 11 10 2 9 13 17 8 14 12 15 19 16 18 ;361
62;0.001;0 22 21 23 25 24 11 5 7 8 6 3 2 20 10 1 13 18 15 4 17 19 16 12 9 14 ;407
63;0;0 20 24 21 23 22 11 25 8 7 4 6 9 3 2 5 10 13 15 17 18 19 12 14 16 1 ;357
64;0.001;0 21 20 24 22 23 25 3 5 1 6 4 2 7 8 10 9 12 16 11 13 18 19 14 15 17 ;351
65;0.001;0 21 20 25 23 10 8 22 24 11 6 4 1 3 7 9 5 17 13 15 14 12 16 19 18 2 ;350
66;0;0 22 20 21 24 10 8 25 11 6 7 4 5 1 9 3 13 18 19 17 14 16 12 15 23 2 ;370
67;0.001;0 20 22 21 23 10 7 5 1 3 8 6 9 25 11 2 13 17 15 24 19 18 16 12 14 4 ;364
68;0;0 22 25 23 24 21 20 5 3 1 6 8 11 7 9 10 13 18 17 2 12 14 15 19 16 4 ;319
69;0.001;0 22 20 25 23 10 7 24 11 8 6 4 1 3 2 9 13 17 18 15 19 14 16 12 5 21 ;330
70;0;0 22 25 23 24 10 11 21 7 3 4 6 8 20 5 2 13 18 19 1 9 12 16 17 15 14 ;411
71;0.001;0 20 21 25 22 23 11 24 10 8 9 4 7 5 1 3 6 13 17 18 16 12 15 19 2 14 ;398
72;0.001;0 20 22 21 23 25 11 5 3 7 6 4 2 24 10 8 1 13 15 18 16 14 12 9 17 19 ;422
73;0.001;0 20 22 25 21 23 11 7 4 1 2 6 3 24 5 10 13 15 14 9 17 19 16 18 8 12 ;402
74;0;0 21 20 22 24 23 25 5 4 7 6 3 2 10 8 9 13 17 15 11 14 19 16 18 1 12 ;374
75;0.001;0 21 23 25 20 22 10 24 7 3 4 5 6 8 11 1 13 17 18 15 14 19 9 12 2 16 ;445
76;0;0 20 24 25 21 10 7 5 3 6 8 9 2 22 23 4 13 18 15 17 19 14 11 1 16 12 ;440
77;0.001;0 20 21 25 23 22 10 7 3 1 5 6 9 8 2 11 13 17 18 4 24 19 14 12 15 16 ;411
78;0;0 22 25 21 23 24 10 7 3 4 5 6 8 20 9 11 2 13 17 1 14 16 12 18 15 19 ;408
79;0.001;0 20 21 22 23 10 11 24 25 8 9 4 3 7 1 5 2 12 14 17 15 16 19 13 6 18 ;381
80;0;0 20 24 21 25 22 10 23 7 3 4 6 9 5 1 2 8 11 15 13 17 18 19 14 16 12 ;375
81;0.001;0 20 21 22 24 25 10 23 8 7 5 1 4 6 9 11 3 2 12 17 13 15 16 14 19 18 ;381
82;0;0 20 22 21 25 24 10 7 3 4 6 8 5 23 11 1 13 18 19 17 14 12 15 2 9 16 ;404
83;0.001;0 20 22 23 21 10 7 25 24 5 4 1 2 3 9 8 13 18 17 6 11 14 15 12 19 16 ;396
84;0;0 21 20 22 25 23 11 24 7 5 4 6 3 10 1 2 8 9 15 18 13 19 14 16 12 17 ;387
85;0.001;0 20 24 25 21 23 11 5 3 7 8 6 9 22 10 4 1 2 13 18 15 14 19 12 17 16 ;394
86;0;0 21 23 25 20 24 10 5 3 7 8 9 11 4 2 1 22 17 15 6 12 14 13 18 16 19 ;413
87;0.001;0 21 23 20 25 22 10 24 7 3 5 6 9 1 2 4 11 17 18 13 15 16 12 14 8 19 ;383
88;0;0 22 20 25 24 10 8 21 7 5 4 1 6 3 2 23 11 9 13 15 16 14 12 19 18 17 ;397
89;0.001;0 20 22 25 23 21 10 24 8 7 3 1 5 6 4 11 2 9 15 17 13 19 14 12 18 16 ;409
90;0;0 22 25 21 20 23 10 24 7 4 3 6 5 8 11 2 13 17 19 9 15 14 16 12 1 18 ;394
91;0.001;0 22 25 23 21 10 11 5 4 6 7 8 1 20 9 2 12 14 19 13 15 18 17 24 16 3 ;406
92;0.001;0 21 22 23 20 10 8 24 7 5 3 6 4 25 11 9 1 2 12 17 13 15 16 14 18 19 ;408
93;0;0 21 22 23 25 10 11 24 7 5 1 4 2 20 8 3 9 12 15 17 13 19 18 14 16 6 ;376
94;0.001;0 20 22 23 21 24 25 5 3 7 6 9 4 8 10 1 11 2 13 17 15 19 14 18 12 16 ;391
95;0;0 21 20 22 25 24 11 7 3 1 2 5 4 8 6 9 13 18 19 23 17 16 14 15 12 10 ;333
96;0.001;0 20 24 25 21 22 23 3 7 8 11 9 10 1 2 6 5 13 17 15 14 16 18 4 19 12 ;406
97;0;0 20 22 25 24 23 21 7 4 3 1 6 5 11 10 8 13 15 16 2 12 17 19 18 9 14 ;372
98;0.001;0 20 22 25 21 24 23 5 4 3 6 9 7 8 1 10 11 13 17 2 12 14 16 15 18 19 ;357
99;0;0 22 20 21 25 23 11 7 4 3 6 8 5 10 1 2 13 18 19 24 17 16 14 15 9 12 ;387
